days since event	date	sentiment score
-100	10/14/22	0.24
-99	10/15/22	0.222
-98	10/16/22	0.293
-97	10/17/22	0.402
-96	10/18/22	0.431
-95	10/19/22	0.296
-94	10/20/22	0.473
-93	10/21/22	0.466
-92	10/22/22	0.279
-91	10/23/22	0.381
-90	10/24/22	0.462
-89	10/25/22	0.554
-88	10/26/22	0.452
-87	10/27/22	0.47
-86	10/28/22	0.406
-85	10/29/22	0.243
-84	10/30/22	0.508
-83	10/31/22	0.561
-82	11/1/22	0.321
-81	11/2/22	0.349
-80	11/3/22	0.54
-79	11/4/22	0.498
-78	11/5/22	0.551
-77	11/6/22	0.53
-76	11/7/22	0.374
-75	11/8/22	0.448
-74	11/9/22	0.268
-73	11/10/22	0.392
-72	11/11/22	0.512
-71	11/12/22	0.48
-70	11/13/22	0.526
-69	11/14/22	0.261
-68	11/15/22	0.254
-67	11/16/22	0.226
-66	11/17/22	0.494
-65	11/18/22	0.219
-64	11/19/22	0.484
-63	11/20/22	0.3
-62	11/21/22	0.427
-61	11/22/22	0.487
-60	11/23/22	0.516
-59	11/24/22	0.505
-58	11/25/22	0.441
-57	11/26/22	0.289
-56	11/27/22	0.353
-55	11/28/22	0.236
-54	11/29/22	0.565
-53	11/30/22	0.459
-52	12/1/22	0.229
-51	12/2/22	0.282
-50	12/3/22	0.356
-49	12/4/22	0.417
-48	12/5/22	0.257
-47	12/6/22	0.537
-46	12/7/22	0.523
-45	12/8/22	0.31
-44	12/9/22	0.25
-43	12/10/22	0.335
-42	12/11/22	0.438
-41	12/12/22	0.424
-40	12/13/22	0.233
-39	12/14/22	0.547
-38	12/15/22	0.501
-37	12/16/22	0.275
-36	12/17/22	0.477
-35	12/18/22	0.346
-34	12/19/22	0.272
-33	12/20/22	0.325
-32	12/21/22	0.247
-31	12/22/22	0.332
-30	12/23/22	0.318
-29	12/24/22	0.363
-28	12/25/22	0.491
-27	12/26/22	0.395
-26	12/27/22	0.367
-25	12/28/22	0.286
-24	12/29/22	0.388
-23	12/30/22	0.378
-22	12/31/22	0.445
-21	1/1/23	0.342
-20	1/2/23	0.307
-19	1/3/23	0.533
-18	1/4/23	0.36
-17	1/5/23	0.314
-16	1/6/23	0.413
-15	1/7/23	0.339
-14	1/8/23	0.544
-13	1/9/23	0.455
-12	1/10/23	0.303
-11	1/11/23	0.42
-10	1/12/23	0.264
-9	1/13/23	0.409
-8	1/14/23	0.434
-7	1/15/23	0.519
-6	1/16/23	0.328
-5	1/17/23	0.558
-4	1/18/23	0.215
-3	1/19/23	0.385
-2	1/20/23	0.399
-1	1/21/23	0.434
0	1/22/23	0.54
1	1/23/23	0.6
2	1/24/23	0.441
3	1/25/23	0.429
4	1/26/23	0.558
5	1/27/23	0.348
6	1/28/23	0.449
7	1/29/23	0.526
8	1/30/23	0.578
9	1/31/23	0.675
10	2/1/23	0.623
11	2/2/23	0.566
12	2/3/23	0.708
13	2/4/23	0.615
14	2/5/23	0.376
15	2/6/23	0.437
16	2/7/23	0.542
17	2/8/23	0.421
18	2/9/23	0.38
19	2/10/23	0.591
20	2/11/23	0.546
21	2/12/23	0.667
22	2/13/23	0.728
23	2/14/23	0.518
24	2/15/23	0.607
25	2/16/23	0.413
26	2/17/23	0.639
27	2/18/23	0.453
28	2/19/23	0.696
29	2/20/23	0.388
30	2/21/23	0.401
31	2/22/23	0.627
32	2/23/23	0.692
33	2/24/23	0.368
34	2/25/23	0.647
35	2/26/23	0.724
36	2/27/23	0.445
37	2/28/23	0.534
38	3/1/23	0.461
39	3/2/23	0.55
40	3/3/23	0.384
41	3/4/23	0.457
42	3/5/23	0.417
43	3/6/23	0.356
44	3/7/23	0.514
45	3/8/23	0.409
46	3/9/23	0.538
47	3/10/23	0.473
48	3/11/23	0.651
49	3/12/23	0.57
50	3/13/23	0.51
51	3/14/23	0.72
52	3/15/23	0.7
53	3/16/23	0.655
54	3/17/23	0.643
55	3/18/23	0.663
56	3/19/23	0.393
57	3/20/23	0.364
58	3/21/23	0.36
59	3/22/23	0.635
60	3/23/23	0.522
61	3/24/23	0.603
62	3/25/23	0.34
63	3/26/23	0.344
64	3/27/23	0.574
65	3/28/23	0.687
66	3/29/23	0.372
67	3/30/23	0.704
68	3/31/23	0.489
69	4/1/23	0.498
70	4/2/23	0.494
71	4/3/23	0.469
72	4/4/23	0.352
73	4/5/23	0.485
74	4/6/23	0.582
75	4/7/23	0.611
76	4/8/23	0.397
77	4/9/23	0.554
78	4/10/23	0.481
79	4/11/23	0.671
80	4/12/23	0.659
81	4/13/23	0.679
82	4/14/23	0.53
83	4/15/23	0.712
84	4/16/23	0.405
85	4/17/23	0.465
86	4/18/23	0.477
87	4/19/23	0.732
88	4/20/23	0.595
89	4/21/23	0.562
90	4/22/23	0.506
91	4/23/23	0.716
92	4/24/23	0.586
93	4/25/23	0.736
94	4/26/23	0.599
95	4/27/23	0.683
96	4/28/23	0.502
97	4/29/23	0.433
98	4/30/23	0.74
99	5/1/23	0.619
100	5/2/23	0.631